OBJECTID,DATE,Group,Facility,County,Cases,Month,Cases_Normalized,Risk_Level
110,2020-07-01 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
111,2020-07-01 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
112,2020-07-01 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
113,2020-07-01 10:00:00,Inmates,State and Local Affected Facilities,Allegany,12,7,-0.3297959801042791,0
114,2020-07-01 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
115,2020-07-08 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,7,-0.22701581713485372,0
116,2020-07-08 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
117,2020-07-08 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
118,2020-07-08 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
119,2020-07-08 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
120,2020-07-08 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
145,2020-07-15 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36,7,-0.22701581713485372,0
146,2020-07-15 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
147,2020-07-15 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
148,2020-07-15 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
149,2020-07-15 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
150,2020-07-15 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
157,2020-07-22 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1,7,-0.376903554798599,0
158,2020-07-22 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,7,-0.3811860615889917,0
159,2020-07-22 10:00:00,Staff,State and Local Affected Facilities,Allegany,5,7,-0.35977352763702813,0
160,2020-07-22 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
161,2020-07-22 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
162,2020-07-22 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
163,2020-07-29 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,41,7,-0.20560328318289012,0
164,2020-07-29 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88,7,-0.00432546403443216,0
165,2020-07-29 10:00:00,Staff,State and Local Affected Facilities,Allegany,7,7,-0.35120851405624265,0
166,2020-07-29 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
167,2020-07-29 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
168,2020-07-29 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,7,-0.3811860615889917,0
181,2020-08-05 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,41,8,-0.20560328318289012,0
182,2020-08-05 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,89,8,-4.295724403943693e-05,0
183,2020-08-05 10:00:00,Staff,State and Local Affected Facilities,Allegany,7,8,-0.35120851405624265,0
184,2020-08-05 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
185,2020-08-05 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
186,2020-08-05 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
211,2020-08-12 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,8,-0.36833854121781356,0
212,2020-08-12 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1,8,-0.376903554798599,0
213,2020-08-12 10:00:00,Staff,State and Local Affected Facilities,Allegany,6,8,-0.35549102084663536,0
214,2020-08-12 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
215,2020-08-12 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
216,2020-08-12 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
235,2020-08-19 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,8,-0.36833854121781356,0
236,2020-08-19 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1,8,-0.376903554798599,0
237,2020-08-19 10:00:00,Staff,State and Local Affected Facilities,Allegany,6,8,-0.35549102084663536,0
238,2020-08-19 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
239,2020-08-19 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
240,2020-08-19 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
247,2020-08-26 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,8,-0.36833854121781356,0
248,2020-08-26 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1,8,-0.376903554798599,0
249,2020-08-26 10:00:00,Staff,State and Local Affected Facilities,Allegany,7,8,-0.35120851405624265,0
250,2020-08-26 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
251,2020-08-26 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
252,2020-08-26 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,8,-0.3811860615889917,0
253,2020-09-02 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2,9,-0.3726210480082063,0
254,2020-09-02 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,9,-0.3811860615889917,0
255,2020-09-02 10:00:00,Staff,State and Local Affected Facilities,Allegany,7,9,-0.35120851405624265,0
256,2020-09-02 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
257,2020-09-02 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
258,2020-09-02 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
271,200-09-09 09:03:58,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,2,9,-0.3726210480082063,0
272,200-09-09 09:03:58,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,9,-0.3811860615889917,0
273,200-09-09 09:03:58,Staff,State and Local Affected Facilities,Allegany,8,9,-0.34692600726584993,0
274,200-09-09 09:03:58,Patients,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
275,200-09-09 09:03:58,Inmates,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
276,200-09-09 09:03:58,Youth,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
295,2020-09-16 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,7,9,-0.35120851405624265,0
296,2020-09-16 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11,9,-0.3340784868946718,0
297,2020-09-16 10:00:00,Staff,State and Local Affected Facilities,Allegany,8,9,-0.34692600726584993,0
298,2020-09-16 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
299,2020-09-16 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
300,2020-09-16 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
319,2020-09-23 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,6,9,-0.35549102084663536,0
320,2020-09-23 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,11,9,-0.3340784868946718,0
321,2020-09-23 10:00:00,Staff,State and Local Affected Facilities,Allegany,8,9,-0.34692600726584993,0
322,2020-09-23 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
323,2020-09-23 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
324,2020-09-23 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
325,2020-09-30 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,9,-0.36833854121781356,0
326,2020-09-30 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,9,-0.3811860615889917,0
327,2020-09-30 10:00:00,Staff,State and Local Affected Facilities,Allegany,8,9,-0.34692600726584993,0
328,2020-09-30 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
329,2020-09-30 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
330,2020-09-30 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,9,-0.3811860615889917,0
331,2020-10-07 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,10,-0.36833854121781356,0
332,2020-10-07 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,10,-0.3811860615889917,0
333,2020-10-07 10:00:00,Staff,State and Local Affected Facilities,Allegany,8,10,-0.34692600726584993,0
334,2020-10-07 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
335,2020-10-07 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
336,2020-10-07 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
337,2020-10-14 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,3,10,-0.36833854121781356,0
338,2020-10-14 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,10,-0.3811860615889917,0
339,2020-10-14 10:00:00,Staff,State and Local Affected Facilities,Allegany,9,10,-0.3426435004754572,0
340,2020-10-14 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
341,2020-10-14 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
342,2020-10-14 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
361,2020-10-21 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,4,10,-0.36405603442742085,0
