OBJECTID,DATE,Month,County,Group,Facility,Cases,Cases_Normalized,Risk_Level
415,2020-10-28 10:00:00,10,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",48,-0.17562573565014106,0
416,2020-10-28 10:00:00,10,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",91,0.008522056336746008,0
417,2020-10-28 10:00:00,10,Allegany,Staff,State and Local Affected Facilities,10,-0.3383609936850645,0
418,2020-10-28 10:00:00,10,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
419,2020-10-28 10:00:00,10,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
420,2020-10-28 10:00:00,10,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
439,2020-11-04 10:00:00,11,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",53,-0.15421320169817743,0
440,2020-11-04 10:00:00,11,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",101,0.05134712424067323,0
441,2020-11-04 10:00:00,11,Allegany,Staff,State and Local Affected Facilities,25,-0.27412339182917367,0
442,2020-11-04 10:00:00,11,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
443,2020-11-04 10:00:00,11,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
444,2020-11-04 10:00:00,11,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
469,2020-11-11 10:00:00,11,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",97,0.034217097079102345,0
470,2020-11-11 10:00:00,11,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",186,0.4153602014240546,0
471,2020-11-11 10:00:00,11,Allegany,Staff,State and Local Affected Facilities,27,-0.26555837824838824,0
472,2020-11-11 10:00:00,11,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
473,2020-11-11 10:00:00,11,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
474,2020-11-11 10:00:00,11,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
493,2020-11-18 10:00:00,11,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",172,0.3554051063585565,0
494,2020-11-18 10:00:00,11,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",297,0.8907184551576468,2
495,2020-11-18 10:00:00,11,Allegany,Staff,State and Local Affected Facilities,56,-0.14136568132699928,0
496,2020-11-18 10:00:00,11,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
497,2020-11-18 10:00:00,11,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
498,2020-11-18 10:00:00,11,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
505,2020-11-25 10:00:00,11,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",277,0.8050683193497924,2
506,2020-11-25 10:00:00,11,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",417,1.4046192700047735,2
507,2020-11-25 10:00:00,11,Allegany,Staff,State and Local Affected Facilities,108,0.08132467177342229,0
508,2020-11-25 10:00:00,11,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
509,2020-11-25 10:00:00,11,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
510,2020-11-25 10:00:00,11,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
517,2020-12-02 10:00:00,12,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",302,0.9121309891096104,2
518,2020-12-02 10:00:00,12,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",431,1.4645743650702716,2
519,2020-12-02 10:00:00,12,Allegany,Staff,State and Local Affected Facilities,182,0.39823017426248375,0
520,2020-12-02 10:00:00,12,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
521,2020-12-02 10:00:00,12,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
522,2020-12-02 10:00:00,12,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
529,2020-12-09 10:00:00,12,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",373,1.2161889712274938,2
530,2020-12-09 10:00:00,12,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",506,1.7857623743497257,2
531,2020-12-09 10:00:00,12,Allegany,Staff,State and Local Affected Facilities,95,0.025652083498316897,0
532,2020-12-09 10:00:00,12,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
533,2020-12-09 10:00:00,12,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
534,2020-12-09 10:00:00,12,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
559,2020-12-16 10:00:00,12,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",364,1.1776464101139592,2
560,2020-12-16 10:00:00,12,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",465,1.6101795959436243,2
561,2020-12-16 10:00:00,12,Allegany,Staff,State and Local Affected Facilities,266,0.7579607446554725,2
562,2020-12-16 10:00:00,12,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
563,2020-12-16 10:00:00,12,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
564,2020-12-16 10:00:00,12,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
589,2020-12-23 10:00:00,12,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",404,1.3489466817296683,2
590,2020-12-23 10:00:00,12,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",472,1.6401571434763733,2
591,2020-12-23 10:00:00,12,Allegany,Staff,State and Local Affected Facilities,277,0.8050683193497924,2
592,2020-12-23 10:00:00,12,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
593,2020-12-23 10:00:00,12,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
594,2020-12-23 10:00:00,12,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
607,2020-12-30 10:00:00,12,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",406,1.3575116953104536,2
608,2020-12-30 10:00:00,12,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",475,1.6530046638475515,2
609,2020-12-30 10:00:00,12,Allegany,Staff,State and Local Affected Facilities,299,0.8992834687384323,2
610,2020-12-30 10:00:00,12,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
611,2020-12-30 10:00:00,12,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
612,2020-12-30 10:00:00,12,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
613,2021-01-06 10:00:00,1,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",406,1.3575116953104536,2
614,2021-01-06 10:00:00,1,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",473,1.644439650266766,2
615,2021-01-06 10:00:00,1,Allegany,Staff,State and Local Affected Facilities,308,0.9378260298519668,2
616,2021-01-06 10:00:00,1,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
617,2021-01-06 10:00:00,1,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
618,2021-01-06 10:00:00,1,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
625,2021-01-13 10:00:00,1,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",325,1.010628645288643,2
626,2021-01-13 10:00:00,1,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",430,1.460291858279879,2
627,2021-01-13 10:00:00,1,Allegany,Staff,State and Local Affected Facilities,304,0.9206960026903959,2
628,2021-01-13 10:00:00,1,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
629,2021-01-13 10:00:00,1,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
630,2021-01-13 10:00:00,1,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
631,2021-01-20 10:00:00,1,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",333,1.0448886996117848,2
632,2021-01-20 10:00:00,1,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",420,1.4174667903759517,2
633,2021-01-20 10:00:00,1,Allegany,Staff,State and Local Affected Facilities,150,0.26118995696991665,0
634,2021-01-20 10:00:00,1,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
